id,name,directory,url,type,branch_ids/id,default_in_new_env,error_message
inf_repo_git_oca_account-analytic,OCA-account-analytic,OCA-account-analytic,https://github.com/OCA/account-analytic,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_oca_account_financial_reporting,OCA-account-financial-reporting,OCA-account-financial-reporting,https://github.com/OCA/account-financial-reporting,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
inf_repo_git_oca_account_financial_tools,OCA-account-financial-tools,OCA-account-financial-tools,https://github.com/OCA/account-financial-tools,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_account_invoicing,OCA-account-invoicing,OCA-account-invoicing,https://github.com/OCA/account-invoicing,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_bank_payment,OCA-bank-payment,OCA-bank-payment,https://github.com/OCA/bank-payment,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_banking,OCA-banking,OCA-banking,https://github.com/OCA/banking,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_commission,OCA-commission,OCA-commission,https://github.com/OCA/commission,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_contract,OCA-contract,OCA-contract,https://github.com/OCA/contract,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_crm,OCA-crm,OCA-crm,https://github.com/OCA/crm,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_depreceated,OCA-depreceated,OCA-depreceated,https://github.com/OCA/depreceated,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,This is a dummy repo to show error messages. For eg. You can put: _śThis repository has been depreceated an replaced by xxxx_ť
Inf_repo_git_oca_hr,OCA-hr,OCA-hr,https://github.com/OCA/hr,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_knowledge,OCA-knowledge,OCA-knowledge,https://github.com/OCA/knowledge,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_management_system,OCA-management-system,OCA-management-system,https://github.com/OCA/management-system,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
Inf_repo_git_oca_manufacture,OCA-manufacture,OCA-manufacture,https://github.com/OCA/manufacture,git,"inf_rep_branch_80,inf_rep_branch_90,inf_rep_branch_100",FALSE,
